Date_Time,XRS_B_Flux,Flare_Class
2010-09-09 08:07:00,8.563892350821334e-08,
2010-09-09 08:17:00,1.4287122951373021e-07,B1.4
2010-09-09 08:32:00,1.131519624664179e-07,
2010-09-09 13:03:00,8.706648912948367e-08,
2010-09-10 00:32:00,1.667953029027558e-07,
2010-09-10 00:40:00,2.405181191988959e-07,B2.4
2010-09-10 00:44:00,2.1365399049955158e-07,
2010-09-10 00:50:00,3.2383593406848377e-07,B3.2
2010-09-10 00:57:00,2.5427465288885287e-07,
2010-09-10 01:01:00,2.1300509445154603e-07,
2010-09-10 02:50:00,1.624044614345621e-07,
2010-09-10 03:02:00,4.5711843199569557e-07,B4.5
2010-09-10 03:17:00,2.9450598049152177e-07,
2010-09-10 04:04:00,1.5713546019924252e-07,
2010-09-10 07:13:00,2.502515030755603e-07,
2010-09-10 07:23:00,5.923475896452146e-07,B5.9
2010-09-10 07:29:00,3.816954858848476e-07,
2010-09-10 07:38:00,3.609525549563841e-07,
2010-09-10 07:45:00,4.920288461107702e-07,B4.9
2010-09-10 07:51:00,4.231164609791449e-07,
2010-09-10 08:30:00,3.5446365131974744e-07,
2010-09-10 12:16:00,2.1170730235553492e-07,
2010-09-10 12:22:00,3.4242884794366546e-07,B3.4
2010-09-10 12:27:00,2.579084537046583e-07,
2010-09-10 12:38:00,2.0944915490872518e-07,
2010-09-10 15:15:00,1.6291059523609874e-07,
2010-09-10 15:23:00,3.2637092317600036e-07,B3.2
2010-09-10 15:38:00,2.4519013663848455e-07,
2010-09-10 16:11:00,2.398692231508903e-07,
2010-09-10 16:19:00,4.023519011298049e-07,B4.0
2010-09-10 16:23:00,2.88536170955922e-07,
2010-09-10 16:53:00,2.323420886796157e-07,
2010-09-10 19:57:00,2.011952489056057e-07,
2010-09-10 20:02:00,2.798280434035405e-07,B2.7
2010-09-10 20:06:00,2.2864340110118064e-07,
2010-09-10 20:33:00,1.9828388531095698e-07,
2010-09-10 20:57:00,2.2637227914401592e-07,
2010-09-10 21:11:00,4.533548576546309e-07,B4.5
2010-09-10 21:14:00,4.114363889584638e-07,
2010-09-10 21:18:00,6.452972343140573e-07,B6.4
2010-09-10 21:22:00,4.800892270395707e-07,
2010-09-10 21:25:00,3.9391630934915156e-07,
2010-09-10 22:53:00,2.0353125762540003e-07,
2010-09-10 23:01:00,3.073021446198254e-07,B3.0
2010-09-10 23:05:00,2.7568810878619843e-07,
2010-09-10 23:23:00,8.128412787300476e-07,B8.1
2010-09-10 23:49:00,5.294050424708985e-07,
2010-09-11 01:04:00,2.641702963046555e-07,
2010-09-11 01:08:00,2.5132223413493193e-07,
2010-09-11 01:15:00,4.3742457478401775e-07,B4.3
2010-09-11 01:19:00,2.9792136047035456e-07,
2010-09-11 01:28:00,2.4963512146314315e-07,
2010-09-11 03:15:00,2.681934176962386e-07,
2010-09-11 03:28:00,6.444212772294122e-07,B6.4
2010-09-11 03:37:00,4.4269359023019206e-07,
2010-09-11 05:08:00,2.7598014185059583e-07,
2010-09-11 07:59:00,2.481166916368238e-07,
2010-09-11 08:14:00,6.958135259083065e-07,B6.9
2010-09-11 08:22:00,4.2023759760922985e-07,
2010-09-11 09:10:00,2.394604905475717e-07,
2010-09-11 10:28:00,2.0200640449274943e-07,
2010-09-11 10:33:00,2.975233712732006e-07,B2.9
2010-09-11 10:37:00,2.409659032309719e-07,
2010-09-11 10:50:00,1.9442302345851203e-07,
2010-09-11 18:00:00,1.7358492243602086e-07,
2010-09-11 18:05:00,5.05688092289347e-07,B5.0
2010-09-11 18:10:00,3.1556257340525917e-07,
2010-09-11 18:51:00,1.6895616283818526e-07,
2010-09-12 11:35:00,1.2521003611709602e-07,
2010-09-12 11:43:00,1.9892421221356926e-07,B1.9
2010-09-12 11:49:00,1.5441018774708937e-07,
2010-09-12 12:00:00,1.3182872748984664e-07,
2010-09-12 12:14:00,1.4025567907083314e-07,
2010-09-12 12:19:00,1.8867170581415849e-07,B1.8
2010-09-12 12:24:00,1.5543544407137233e-07,
2010-09-12 12:33:00,1.294927187700523e-07,
2010-09-12 16:20:00,1.4815918802923989e-07,
2010-09-12 16:29:00,2.2877325989156816e-07,B2.2
2010-09-12 16:34:00,1.7335784718852665e-07,
2010-09-12 17:31:00,1.433790117744138e-07,
2010-09-12 21:07:00,1.4792126989959797e-07,
2010-09-12 21:14:00,2.6718768708633434e-07,B2.6
2010-09-12 21:19:00,1.861713059270187e-07,
2010-09-12 21:23:00,1.3961543743334914e-07,
2010-09-15 04:49:00,2.854887384273752e-07,
2010-09-15 05:08:00,7.505802273044537e-07,B7.5
2010-09-15 07:18:00,2.396423326445074e-07,
2010-09-15 07:24:00,3.972669730956113e-07,B3.9
2010-09-15 07:28:00,2.9687464575545164e-07,
2010-09-15 07:36:00,2.318556227010049e-07,
2010-09-15 08:31:00,2.5312201046290284e-07,
2010-09-15 08:36:00,3.8071155472607643e-07,B3.8
2010-09-15 09:00:00,3.058293600588513e-07,
2010-09-15 17:07:00,3.2542592975914886e-07,
2010-09-15 17:15:00,1.3620964409710723e-06,C1.3
2010-09-15 17:22:00,6.881567742311745e-07,
2010-09-15 17:39:00,3.322825534723961e-07,
2010-09-15 21:05:00,2.6943084208141954e-07,
2010-09-15 21:13:00,3.744821981399582e-07,B3.7
2010-09-15 21:25:00,3.069411320666404e-07,
2010-09-15 21:40:00,2.7182741746401007e-07,
2010-09-15 21:53:00,2.5923890234480496e-07,
2010-09-15 22:01:00,5.02833074733644e-07,B5.0
2010-09-15 22:11:00,3.516411766213423e-07,
2010-09-15 22:19:00,3.253826719173958e-07,
2010-09-15 22:25:00,7.742518164377543e-07,B7.7
2010-09-15 22:32:00,4.853346240452083e-07,
2010-09-15 22:45:00,3.2620459933241364e-07,
2010-09-16 02:15:00,4.6535961928384495e-07,
2010-09-16 02:26:00,7.472384595530457e-07,B7.4
2010-09-16 02:41:00,5.650251750921598e-07,
2010-09-16 03:03:00,4.5419866978591017e-07,
2010-09-16 09:53:00,3.645217248049448e-07,
2010-09-16 10:01:00,5.542578946915455e-07,B5.5
2010-09-16 10:14:00,4.436865879142715e-07,
2010-09-16 10:33:00,3.5855191526934505e-07,
2010-09-16 10:59:00,2.988148821714276e-07,
2010-09-16 11:09:00,6.514619599329308e-07,B6.5
2010-09-16 11:24:00,4.3771677837867173e-07,
2010-09-16 11:38:00,3.0975519393905415e-07,
2010-09-16 13:50:00,2.6569540523269097e-07,
2010-09-16 13:59:00,5.084460781290545e-07,B5.0
2010-09-16 14:05:00,3.3726826131896814e-07,
2010-09-16 15:34:00,2.613478500279598e-07,
2010-09-16 18:55:00,2.57194926689408e-07,
2010-09-16 19:03:00,5.340384063856618e-07,B5.3
2010-09-16 19:08:00,3.366193652709626e-07,
2010-09-16 19:20:00,2.45372092422258e-07,
2010-09-16 22:26:00,2.5511846502013213e-07,
2010-09-16 22:34:00,6.624931074838969e-07,B6.6
2010-09-16 22:42:00,4.2075473061231605e-07,
2010-09-16 23:46:00,2.4725389380364504e-07,
2010-09-16 23:47:00,2.4356816652471025e-07,
2010-09-16 23:57:00,4.199371232971316e-07,B4.1
2010-09-17 00:03:00,3.7687644294237543e-07,
2010-09-17 00:07:00,4.803185333912552e-07,B4.8
2010-09-17 00:12:00,3.963518793170806e-07,
2010-09-17 00:13:00,3.759982689643948e-07,
2010-09-17 01:00:00,2.824106957177719e-07,
2010-09-17 01:06:00,4.1906309888872784e-07,B4.1
2010-09-17 01:10:00,3.095084366577794e-07,
2010-09-17 01:16:00,2.800703384764347e-07,
2010-09-17 01:22:00,1.9435710783000104e-06,C1.9
2010-09-17 01:26:00,5.862177658855217e-07,
2010-09-17 01:35:00,2.7773432975664036e-07,
2010-09-17 15:31:00,2.2683521194721834e-07,
2010-09-17 15:37:00,3.204314396043628e-07,B3.2
2010-09-17 15:44:00,2.58198326719139e-07,
2010-09-17 16:02:00,2.203722431204369e-07,
2010-09-17 17:31:00,2.138833252729455e-07,
2010-09-17 17:36:00,3.811677800058533e-07,B3.8
2010-09-17 17:41:00,2.6735204983197036e-07,
2010-09-17 18:09:00,2.2068803673391812e-07,
2010-09-17 18:14:00,3.2497368351869227e-07,B3.2
2010-09-17 18:18:00,2.160895462566259e-07,
2010-09-17 18:19:00,2.08017340241895e-07,
2010-09-18 08:41:00,2.2664193011223688e-07,
2010-09-18 08:53:00,5.944341410213383e-07,B5.9
2010-09-18 09:02:00,3.910712678134587e-07,
2010-09-18 09:20:00,2.441620097215491e-07,
2010-09-18 12:43:00,1.9484619429022132e-07,
2010-09-18 12:47:00,3.0788325489083945e-07,B3.0
2010-09-18 12:52:00,2.039133875086918e-07,
2010-09-18 12:54:00,1.8498303688829765e-07,
2010-09-19 02:45:00,1.6205254382839485e-07,
2010-09-19 02:55:00,3.0779378334955254e-07,B3.0
2010-09-19 03:07:00,2.3380707148135116e-07,
2010-09-19 03:49:00,1.5673163034080062e-07,
2010-09-19 06:36:00,1.1195805882380228e-07,
2010-09-19 07:06:00,4.5924528535579157e-07,B4.5
